Name,Objective Value,Time,Gap
knapPI_1_10000_1000_1,563634,0.203,2.68E-05
knapPI_1_1000_1000_1,54503,0.031,0
knapPI_1_100_1000_1,9147,0.015,0
knapPI_1_2000_1000_1,110625,0.047,9.04E-06
knapPI_1_200_1000_1,11238,0.031,0
knapPI_1_5000_1000_1,276450,0.078,2.89E-05
knapPI_1_500_1000_1,28857,0.031,0
knapPI_2_10000_1000_1,90198,0.109,6.84E-05
knapPI_2_1000_1000_1,9052,0.047,0
knapPI_2_100_1000_1,1514,0.015,0
knapPI_2_2000_1000_1,18051,0.047,8.75E-05
knapPI_2_200_1000_1,1634,0.016,0
knapPI_2_5000_1000_1,44354,0.094,6.46E-05
knapPI_2_500_1000_1,4566,0.032,0
knapPI_3_10000_1000_1,146919,0.046,0
knapPI_3_1000_1000_1,14390,0.016,0
knapPI_3_100_1000_1,2397,0.015,0
knapPI_3_2000_1000_1,28919,0.031,0
knapPI_3_200_1000_1,2697,0.015,0
knapPI_3_5000_1000_1,72505,0.047,0
knapPI_3_500_1000_1,7117,0.031,0
