Name,Objective Value,Time,Gap
tsiligirides_problem_1_budget_05.txt,10,0,0
tsiligirides_problem_1_budget_10.txt,15,1.812,0
tsiligirides_problem_1_budget_15.txt,45,3.219,0
tsiligirides_problem_1_budget_20.txt,65,9.969,0
tsiligirides_problem_1_budget_25.txt,90,18.828,0
tsiligirides_problem_1_budget_30.txt,110,49.079,0
tsiligirides_problem_1_budget_35.txt,135,22.906,0
tsiligirides_problem_1_budget_40.txt,155,18.719,0
tsiligirides_problem_1_budget_46.txt,175,12.625,0
tsiligirides_problem_1_budget_50.txt,190,3.25,0
tsiligirides_problem_1_budget_55.txt,205,8.343,0
tsiligirides_problem_1_budget_60.txt,225,2.922,0
tsiligirides_problem_1_budget_65.txt,240,0.922,0
tsiligirides_problem_1_budget_70.txt,260,0.546,0
tsiligirides_problem_1_budget_73.txt,265,0.656,0
tsiligirides_problem_1_budget_75.txt,270,0.25,0
tsiligirides_problem_1_budget_80.txt,280,0.828,0
tsiligirides_problem_1_budget_85.txt,285,1.563,0
